Symptoms,Disease
"skin rash, joint pain, skin peeling, small dents in nails, inflammatory nails",Hepatitis C
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Urinary tract infection
"muscle wasting, patches in throat, extra marital contacts,",Hypertension
"fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Diabetes
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Heart attack
"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,",Hypertension
"vomiting, fatigue, anxiety, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Heart attack
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Impetigo
"joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails",Psoriasis
"constipation, pain during bowel movements, pain in anal region, bloody stool",GERD
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Hypothyroidism
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain","Chronic cholestasis,"
"itching, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain",Jaundice
"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",Typhoid
"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain",Peptic ulcer diseae
"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking",Common Cold
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Migraine
"pus filled pimples, blackheads, scurring,",Diabetes
"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain,",Alcoholic hepatitis
"pus filled pimples, blackheads, scurring,",Hypoglycemia
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Pneumonia
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Migraine
"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain",Hypothyroidism
"fatigue, weight gain, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",hepatitis A
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Hepatitis C
"vomiting, breathlessness, sweating,",Fungal infection
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Varicose veins
"burning micturition, bladder discomfort, foul smell of urine,",Acne
"constipation, pain during bowel movements, bloody stool, irritation in anus",Tuberculosis
"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain",Fungal infection
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Peptic ulcer diseae
"burning micturition, bladder discomfort, foul smell of urine,",Drug Reaction
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Migraine
"headache, dizziness, loss of balance, lack of concentration",Peptic ulcer diseae
"muscle weakness, stiff neck, swelling joints, movement stiffness",Dengue
"headache, chest pain, dizziness, loss of balance, lack of concentration",Osteoarthristis
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Chicken pox
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Typhoid
"stiff neck, swelling joints, movement stiffness, painful walking",(vertigo) Paroymsal  Positional Vertigo
"continuous sneezing, shivering, chills,",Arthritis
"fatigue, weight gain, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Hypothyroidism
"fatigue, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Drug Reaction
"muscle wasting, patches in throat, high fever, extra marital contacts",AIDS
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Varicose veins
"fatigue, weight loss, restlessness, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Hepatitis C
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Osteoarthristis
"vomiting, headache, nausea, spinning movements, loss of balance",Hypertension
"acidity, ulcers on tongue, vomiting, cough, chest pain",Hepatitis B
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Malaria
"muscle wasting, patches in throat, extra marital contacts,",Tuberculosis
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Varicose veins
"continuous sneezing, shivering, watering from eyes,",Allergy
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Diabetes
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Pneumonia
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain","Chronic cholestasis,"
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Bronchial Asthma
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Heart attack
"muscle wasting, patches in throat, extra marital contacts,",Psoriasis
"itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Gastroenteritis
"itching, skin rash, nodal skin eruptions, dischromic  patches",Dimorphic hemmorhoids(piles)
"skin rash, blister, red sore around nose, yellow crust ooze",Arthritis
"patches in throat, high fever, extra marital contacts,",Dimorphic hemmorhoids(piles)
"pus filled pimples, blackheads, scurring,",Hepatitis C
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Diabetes
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Hepatitis B
"vomiting, headache, nausea, spinning movements, unsteadiness",GERD
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Allergy
"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain,",GERD
"itching, nodal skin eruptions, dischromic  patches,",Gastroenteritis
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Psoriasis
"stiff neck, swelling joints, movement stiffness, painful walking",hepatitis A
"chills, fatigue, cough, high fever, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Tuberculosis
"joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking,",Heart attack
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Osteoarthristis
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Alcoholic hepatitis
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Alcoholic hepatitis
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",AIDS
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Bronchial Asthma
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Pneumonia
"itching, nodal skin eruptions, dischromic  patches,",(vertigo) Paroymsal  Positional Vertigo
"fatigue, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Jaundice
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Alcoholic hepatitis
"fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",hepatitis A
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Bronchial Asthma
"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking",Impetigo
"itching, skin rash, dischromic  patches,",Heart attack
"itching, skin rash, stomach pain, burning micturition",Paralysis (brain hemorrhage)
"muscle wasting, patches in throat, high fever, extra marital contacts",Bronchial Asthma
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,",AIDS
"vomiting, breathlessness, chest pain,",Hypothyroidism
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Hypothyroidism
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Common Cold
"continuous sneezing, shivering, watering from eyes,",Typhoid
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Urinary tract infection
"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain",Peptic ulcer diseae
"fatigue, high fever, breathlessness, family history, mucoid sputum",Dengue
"chills, fatigue, cough, high fever, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Fungal infection
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Alcoholic hepatitis
"vomiting, breathlessness, chest pain,",Hepatitis C
"itching, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Urinary tract infection
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Hepatitis D
"weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Heart attack
"itching, nodal skin eruptions, dischromic  patches,",Hypothyroidism
"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking",Hypothyroidism
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Fungal infection
"joint pain, neck pain, knee pain, hip joint pain, swelling joints",Chicken pox
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Hypothyroidism
"itching, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Migraine
"skin rash, pus filled pimples, scurring,",Hepatitis C
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, slurred speech, irritability, palpitations",Alcoholic hepatitis
"vomiting, headache, nausea, spinning movements, loss of balance",Urinary tract infection
"skin rash, joint pain, skin peeling, silver like dusting, inflammatory nails",GERD
"constipation, pain during bowel movements, bloody stool, irritation in anus",Dengue
"skin rash, stomach pain, burning micturition, spotting  urination",Bronchial Asthma
"vomiting, headache, nausea, loss of balance, unsteadiness",Cervical spondylosis
"vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding,",Pneumonia
"vomiting, headache, spinning movements, loss of balance, unsteadiness",Osteoarthristis
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",(vertigo) Paroymsal  Positional Vertigo
"vomiting, loss of appetite, abdominal pain, passage of gases, internal itching",Hypertension
"chills, vomiting, high fever, sweating, headache, nausea, muscle pain",Jaundice
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",hepatitis A
"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain,",Jaundice
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",Hepatitis B
"fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Hepatitis C
"burning micturition, foul smell of urine, continuous feel of urine,",Urinary tract infection
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Common Cold
"joint pain, neck pain, knee pain, swelling joints, painful walking",Osteoarthristis
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Migraine
"continuous sneezing, shivering, chills, watering from eyes",Varicose veins
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Peptic ulcer diseae
"fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Fungal infection
"itching, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",(vertigo) Paroymsal  Positional Vertigo
"vomiting, breathlessness, chest pain,",Jaundice
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels,",Common Cold
"skin rash, joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails,",Heart attack
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Migraine
"pus filled pimples, blackheads, scurring,",Fungal infection
"constipation, pain during bowel movements, pain in anal region, irritation in anus",Hypothyroidism
"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",Dengue
"itching, skin rash, stomach pain, spotting  urination",(vertigo) Paroymsal  Positional Vertigo
"skin rash, pus filled pimples, blackheads,",Acne
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",Heart attack
"stomach pain, acidity, vomiting, cough, chest pain",Malaria
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,","Chronic cholestasis,"
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",Hypertension
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",Acne
"constipation, pain during bowel movements, pain in anal region, bloody stool",(vertigo) Paroymsal  Positional Vertigo
"constipation, pain during bowel movements, bloody stool, irritation in anus",Paralysis (brain hemorrhage)
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Bronchial Asthma
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,",Bronchial Asthma
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Bronchial Asthma
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Tuberculosis
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Arthritis
"itching, fatigue, lethargy, yellowish skin, dark urine, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hepatitis B
"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain",Impetigo
"vomiting, indigestion, loss of appetite, abdominal pain, internal itching",Hepatitis D
"itching, nodal skin eruptions, dischromic  patches,",Dimorphic hemmorhoids(piles)
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Dengue
"fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hypothyroidism
"stomach pain, acidity, vomiting, cough, chest pain",Common Cold
"vomiting, sweating, chest pain,",Tuberculosis
"fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Bronchial Asthma
"fatigue, cramps, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Heart attack
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Impetigo
"vomiting, indigestion, loss of appetite, abdominal pain, internal itching",Drug Reaction
"chest pain, dizziness, loss of balance, lack of concentration",Cervical spondylosis
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",Jaundice
"continuous sneezing, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Fungal infection
"chest pain, dizziness, loss of balance, lack of concentration",Hypothyroidism
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Chicken pox
"weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Fungal infection
"back pain, weakness in limbs, neck pain, loss of balance",Paralysis (brain hemorrhage)
"itching, stomach pain, burning micturition, spotting  urination",Bronchial Asthma
"acidity, ulcers on tongue, vomiting, cough, chest pain",Hypertension
"vomiting, headache, nausea, spinning movements, loss of balance",Gastroenteritis
"itching, skin rash, burning micturition, spotting  urination",Alcoholic hepatitis
"itching, skin rash, stomach pain, spotting  urination",Paralysis (brain hemorrhage)
"fatigue, yellowish skin, loss of appetite, yellowing of eyes, family history",Hypoglycemia
"acidity, ulcers on tongue, vomiting, cough, chest pain",Cervical spondylosis
"itching, skin rash, stomach pain, burning micturition",Alcoholic hepatitis
"muscle weakness, stiff neck, swelling joints, movement stiffness","Chronic cholestasis,"
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Paralysis (brain hemorrhage)
"chills, vomiting, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Common Cold
"muscle wasting, patches in throat, high fever, extra marital contacts",Malaria
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",GERD
"stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain,",GERD
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",Malaria
"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, coma, stomach bleeding,",Peptic ulcer diseae
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",hepatitis A
"vomiting, breathlessness, sweating,",Dengue
"skin rash, pus filled pimples, blackheads, scurring",Common Cold
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,",Hypertension
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,",Hypertension
"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain","Chronic cholestasis,"
"itching, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis B
"chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Alcoholic hepatitis
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Varicose veins
"itching, stomach pain, burning micturition, spotting  urination",Hypertension
"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain,",Arthritis
"vomiting, breathlessness, chest pain,","Chronic cholestasis,"
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",hepatitis A
"continuous sneezing, chills, fatigue, cough, high fever, headache, swelled lymph nodes, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",hepatitis A
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Pneumonia
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Peptic ulcer diseae
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",Urinary tract infection
"continuous sneezing, chills, fatigue, cough, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Common Cold
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Hepatitis C
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Hypertension
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",Hepatitis E
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Gastroenteritis
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,",Hepatitis E
"burning micturition, bladder discomfort, continuous feel of urine,",Urinary tract infection
"chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), belly pain",Urinary tract infection
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Jaundice
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Hepatitis C
"skin rash, blister, red sore around nose, yellow crust ooze",Jaundice
"fatigue, yellowish skin, nausea, loss of appetite, family history",Pneumonia
"itching, nodal skin eruptions, dischromic  patches,",Arthritis
"chills, fatigue, cough, high fever, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Pneumonia
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Allergy
"skin rash, pus filled pimples, blackheads,",Bronchial Asthma
"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain,",Drug Reaction
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Drug Reaction
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Hepatitis D
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",Hepatitis C
"skin rash, stomach pain, burning micturition, spotting  urination",Hypoglycemia
"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, fluid overload,",Hepatitis E
"stomach pain, acidity, ulcers on tongue, vomiting, chest pain",Osteoarthristis
"vomiting, fatigue, anxiety, sweating, headache, nausea, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Osteoarthristis
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",Varicose veins
"continuous sneezing, shivering, chills,",Impetigo
"itching, stomach pain, burning micturition, spotting  urination",Dimorphic hemmorhoids(piles)
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,",Heart attack
"vomiting, headache, nausea, loss of balance, unsteadiness",Allergy
"muscle wasting, patches in throat, high fever, extra marital contacts",Hypertension
"vomiting, indigestion, loss of appetite, abdominal pain, internal itching",Gastroenteritis
"chills, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Hypoglycemia
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Psoriasis
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Tuberculosis
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Chicken pox
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Dimorphic hemmorhoids(piles)
"chills, fatigue, cough, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Hypothyroidism
"skin rash, pus filled pimples, scurring,",Hepatitis E
"chills, vomiting, high fever, sweating, headache, nausea, muscle pain",Arthritis
"skin rash, pus filled pimples, scurring,",Chicken pox
"muscle wasting, patches in throat, high fever, extra marital contacts",Paralysis (brain hemorrhage)
"chest pain, dizziness, loss of balance, lack of concentration",Chicken pox
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Malaria
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Hepatitis D
"joint pain, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,",Common Cold
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hypothyroidism
"fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, muscle weakness, irritability, abnormal menstruation,",Hypothyroidism
"vomiting, headache, weakness of one body side, altered sensorium",Gastroenteritis
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Pneumonia
"joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails",Acne
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",Hepatitis D
"vomiting, weakness of one body side, altered sensorium,",Cervical spondylosis
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",hepatitis A
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Hypothyroidism
"itching, skin rash, stomach pain, burning micturition","Chronic cholestasis,"
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Psoriasis
"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, fluid overload,",Jaundice
"itching, skin rash, fatigue, lethargy, high fever, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,",Malaria
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,",Common Cold
"vomiting, headache, spinning movements, loss of balance, unsteadiness",Migraine
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",Typhoid
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain,","Chronic cholestasis,"
"itching, nodal skin eruptions, dischromic  patches,",Peptic ulcer diseae
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Arthritis
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels,",Hypothyroidism
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Malaria
"continuous sneezing, shivering, chills, watering from eyes",Allergy
"vomiting, nausea, spinning movements, loss of balance, unsteadiness",Bronchial Asthma
"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking",Typhoid
"skin rash, pus filled pimples, scurring,",Dengue
"weakness in limbs, neck pain, dizziness, loss of balance",Hypertension
"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,",AIDS
"chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain,",Malaria
"continuous sneezing, shivering, watering from eyes,",Diabetes
"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes",hepatitis A
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",GERD
"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain",Peptic ulcer diseae
"chest pain, dizziness, loss of balance, lack of concentration",Tuberculosis
"high fever, blister, red sore around nose, yellow crust ooze",AIDS
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",Jaundice
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",hepatitis A
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Peptic ulcer diseae
"back pain, neck pain, dizziness, loss of balance",Chicken pox
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Hypoglycemia
